brand,model,prices,year,fuel,kms
peugeot,208 1.4 hdi active bmp5 5p,4900,2012,Diesel,42747
citroen,c3 1.6 hdi75 confort 5p,5400,2016,Diesel,119676
peugeot,308 1.6 hdi120 active business 5p,7700,2017,Diesel,112813
renault,captur 1.5 dci90 business,8890,2017,Diesel,99962
renault,clio.iv.brk 1.5 dci90 business,4900,2016,Diesel,135569
peugeot,3008 1.6 hdi120 active business,11700,2018,Diesel,110250
peugeot,308.sw 1.6 hdi120 allure eat6,6700,2016,Diesel,138775
ford,c-max 1.5 tdci95 titanium,6100,2016,Diesel,128467
volkswagen,up 1.0 take up 3p,2600,2012,Essence,119423
peugeot,3008 1.6 hdi120 active business,12800,2016,Diesel,109639
citroen,ds5 2.0 hdi180 sport chic ba,10900,2016,Diesel,119261
peugeot,508 1.6 e-hdi115 business pack bmp6,4900,2013,Diesel,113077
citroen,c5 tourer 3.0 hdi240 exclusive ba,3500,2011,Diesel,175381
peugeot,308 1.6 hdi100 style 5p,7400,2016,Diesel,120706
volkswagen,polo 1.4 tdi75 trendline 5p,3700,2015,Diesel,139572
peugeot,308 1.6 hdi100 active business 5p,6900,2017,Diesel,133621
nissan,x-trail 1.6 dci130 tekna ba,12200,2018,Diesel,85504
peugeot,3008 1.6 hdi120 active business ba,12300,2017,Diesel,106892
renault,kadjar 1.5 dci110 zen,7500,2016,Diesel,132945
citroen,c3 1.4 hdi70 rossignol 5p,3100,2012,Diesel,71834
peugeot,2008 1.6 hdi100 allure,6900,2016,Diesel,106781
peugeot,208 1.6 hdi100 style 5p,5700,2017,Diesel,119936
chevrolet,malibu 2.0 vcdi 160 ltz,5700,2014,Diesel,130015
renault,clio.iv 1.5 dci90 business 5p,3700,2014,Diesel,148549
hyundai,ix35 1.7 crdi115 pack business,8550,2014,Diesel,126928
dacia,sandero 1.5 dci90 stepway,2300,2011,Diesel,150292
peugeot,3008 1.6 hdi120 allure ba,14900,2017,Diesel,121478
peugeot,208 1.6 hdi100 active 5p,5300,2017,Diesel,168776
renault,captur 1.5 dci90 intens ,7400,2015,Diesel,148579
renault,clio.ii 1.2 16v campus.com 5p,1400,2011,Essence,100700
peugeot,3008 1.6 hdi115 allure,4900,2013,Diesel,124454
peugeot,308 1.6 e-hdi115 allure 5p,7100,2013,Diesel,122281
ford,kuga 2.0 tdci140 trend,6400,2012,Diesel,149209
peugeot,208 1.6 hdi100 active 5p,5700,2017,Diesel,131584
nissan,juke 1.5 dci110 connect edition,6200,2013,Diesel,125867
nissan,note 1.5 dci90 life+,3800,2013,Diesel,137315
ford,kuga 2.0 tdci140 titanium,7800,2012,Diesel,157486
dacia,sandero 1.5 dci90 stepway ambiance,3400,2014,Diesel,152446
peugeot,3008 1.6 hdi120 allure business ba,15290,2017,Diesel,109386
volkswagen,polo 1.6 tdi90 confortline 5p,4900,2012,Diesel,109814
peugeot,2008 1.6 hdi90 allure,5900,2014,Diesel,114884
ford,ka 1.2 titanium,2400,2012,Essence,78986
renault,captur 1.5 dci90 intens ,7300,2015,Diesel,20565
opel,meriva 1.7 cdti110 cosmo pack,2900,2013,Diesel,128678
ford,fiesta 1.25 trend 3p,2900,2011,Essence,50992
citroen,grand c4 picasso 1.6 hdi110 exclusive bmp6,2500,2011,Diesel,122054
citroen,c3 1.6 hdi100 confort business 5p,4900,2016,Diesel,115156
peugeot,3008 1.6 hdi120 active business,7700,2016,Diesel,112727
audi,a1 sportback 1.0 tfsi95 s line,8400,2015,Essence,107443
peugeot,3008 1.6 hdi115 allure,6900,2013,Diesel,61766
peugeot,208 1.4 hdi68 active 5p,5790,2015,Diesel,73339
renault,kadjar 1.5 dci110 intens  ,8900,2018,Diesel,104058
peugeot,3008 hybrid 2.0 e-hdi bmp6,6500,2012,GH,128753
hyundai,ix35 2.0 crdi184 pack premium ba,6200,2010,Diesel,160449
mini,mini cooper pack chili ba,5300,2009,Essence,84876
peugeot,208 1.6 e-hdi92 feline 5p,6200,2014,Diesel,117294
peugeot,508.sw rxh 2.0 hdi bmp6,6700,2013,GH,162826
citroen,c4 1.6 hdi90 attraction 5p,2400,2013,Diesel,211499
mini,clubman cooper d pack chili,4900,2009,Diesel,168665
citroen,c4 picasso 1.6 e-hdi115 confort etg6,3100,2014,Diesel,229151
volkswagen,polo.v 1.6 tdi90 sportline ba 3p,3300,2010,Diesel,181472
audi,q3 2.0 tdi177 attraction ba,8450,2012,Diesel,166557
citroen,ds3 1.6 thp sport chic,2600,2011,Essence,163229
citroen,c4 1.6 hdi92 attraction 5p,1700,2009,Diesel,164494
peugeot,207 1.6 hdi92 premium 5p,2400,2010,Diesel,168428
renault,kangoo 1.5 dci85 privilege,3200,2009,Diesel,144496
peugeot,207 1.4 hdi70 premium 3p,1900,2009,Diesel,170530
volkswagen,combi 2.0 tdi140,11900,2011,Diesel,239879
peugeot,508.sw 2.0 hdi140 allure,8500,2015,Diesel,217791
volkswagen,touran 1.6 tdi105 cup,6400,2014,Diesel,178136
bmw,x3 xdrive20d luxe,7900,2011,Diesel,180682
bmw,116 d business 5p,5400,2012,Diesel,181214
citroen,c4 aircross 1.6 e-hdi115 ,6900,2016,Diesel,166251
ds,ds5 1.6 hdi120 so chic eat6,6400,2016,Diesel,179836
volkswagen,touran 2.0 tdi140 confortline business,6400,2011,Diesel,230668
bmw,x3 1.8 d limited sport edition,6300,2010,Diesel,176247
volkswagen,touran 1.6 tdi105 confortline ba,5800,2011,Diesel,164386
volkswagen,golf.vi 1.6 tdi105 confortline 5p,5400,2011,Diesel,186071
peugeot,3008 1.6 e-hdi115 napapijri bmp6,4950,2013,Diesel,194969
audi,a3 1.6 tdi105 ambiente 3p,5150,2011,Diesel,172563
volvo,v60 d2 115 momentum business ba,4900,2012,Diesel,166884
nissan,juke 1.5 dci110 acenta,4600,2013,Diesel,163307
peugeot,5008 1.6 hdi112 style,4900,2013,Diesel,174726
nissan,qashqai 1.5 dci110 acenta,3900,2012,Diesel,206674
opel,insignia.brk 2.0 cdti160 cosmo pack ba,3600,2011,Diesel,185361
citroen,c4 picasso 1.6 hdi110 confort,3800,2011,Diesel,165631
peugeot,3008 1.6 hdi112 active,3700,2012,Diesel,186956
mercedes,a 180 cdi elegance ba 5p,3400,2010,Diesel,172553
nissan,qashqai+2 1.6 dci130 360,5900,2013,Diesel,168369
peugeot,207 1.4 hdi70 active 5p,1500,2010,Diesel,147195
hyundai,i40.sw 1.7 crdi136 pack premium,3600,2012,Diesel,225495
peugeot,3008 1.6 hdi115 access,3400,2013,Diesel,206446
peugeot,207 1.6 hdi90 premium 5p,3500,2010,Diesel,151557
volkswagen,eos 2.0 fsi sport ,3400,2007,Essence,186847
opel,zafira 1.7 cdti125 connect pack,2900,2011,Diesel,169156
peugeot,3008 2.0 hdi150 business pack,3100,2012,Diesel,221571
ford,focus 1.6 tdci115 titanium 5p,3200,2011,Diesel,185756
nissan,micra 1.2 connect edition 3p,2900,2010,Essence,82630
audi,a3 2.0 tdi140 ambition 3p,3100,2007,Diesel,202790
renault,megane.iii 1.5 dci110 expression 5p,2900,2012,Diesel,183430
citroen,c4 picasso 2.0 hdi138 pack dynamique bmp6,2900,2008,Diesel,192733
peugeot,308.sw 1.6 hdi112 business pack bmp6,2800,2012,Diesel,185898
renault,grand scenic.iii 1.5 dci105 dynamique,2500,2009,Diesel,155398
peugeot,207 1.4 hdi70 urban 5p,2600,2008,Diesel,113527
honda,fr-v 2.2 i-cdti comfort pack,2200,2005,Diesel,157396
lexus,rx 300 pack luxe ba,5900,2005,Essence,69011
renault,clio.iii 1.5 dci70 authentique 5p,1850,2007,Diesel,160929
renault,megane.iii 1.5 dci105 dynamique 5p,1650,2009,Diesel,201077
peugeot,207 1.6 hdi90 urban 3p,1700,2007,Diesel,89070
renault,grand scenic.iii 1.5 dci105 carminat tom tom,2600,2009,Diesel,130589
renault,clio.iii.brk 1.5 dci85 dynamique,1700,2009,Diesel,143841
peugeot,3008 1.6 hdi110 premium pack,3100,2009,Diesel,156719
peugeot,307 1.6 hdi90 confort pack 5p,1400,2007,Diesel,148546
renault,modus 1.2 tce100 expression,1600,2008,Essence,106612
citroen,c4 picasso 1.6 hdi110 exclusive,1700,2011,Diesel,224000
opel,zafira 1.7 cdti125 edition,2300,2008,Diesel,170230
kia,rio ste 1.1 crdi75 style,1900,2012,Diesel,175083
citroen,c5 tourer 2.0 hdi140 confort,2200,2010,Diesel,186122
nissan,qashqai+2 2.0 dci150 optima,2200,2010,Diesel,215625
citroen,c1 1.0 confort 3p,1900,2009,Essence,119300
renault,megane.cc 1.6 16v privilege,1900,2007,Essence,126768
volvo,xc60 d5 185 xenium,1900,2008,Diesel,284282
audi,a3 sportback 2.0 tdi140 ambition ba,2150,2005,Diesel,271315
alfa romeo,159.sw 1.9 jtd150 distinctive,2100,2009,Diesel,179156
nissan,x-trail 2.2 dci136 elegance,2100,2004,Diesel,267127
suzuki,splash 1.6 ddis75 gls 5p,1700,2008,Diesel,147058
renault,megane.iii.brk 1.9 dci130 dynamique,1900,2011,Diesel,248411
fiat,panda 1.2 dynamic,1400,2011,Essence,179286
fiat,doblo 1.9 jtd120 class,1200,2007,Diesel,233003
ford,fusion 1.4 tdci68 plus,1600,2008,Diesel,62118
citroen,c4 picasso 1.6 hdi110 collection bmp6,1900,2009,Diesel,152031
opel,meriva 1.6 cosmo,1550,2007,Essence,161088
renault,laguna.iii.brk 2.0 dci150 dynamique,1700,2009,Diesel,260763
peugeot,206 + 1.4 hdi70 urban 5p,1500,2009,Diesel,175580
peugeot,307 1.6 hdi110 confort pack 5p,1400,2006,Diesel,144553
citroen,c3 1.4 hdi70 furio 5p,1400,2009,Diesel,192634
fiat,grande punto 1.3 jtd75 active 5p,1100,2006,Diesel,157184
renault,megane.cc 2.0 16v luxe privilege,1400,2006,Essence,104832
peugeot,206.cc 2.0 16v,1400,2002,Essence,138409
citroen,c4 1.6 hdi110 pack ambiance 5p,1200,2004,Diesel,248328
hyundai,atos prime 1.1 pack,1150,2007,Essence,63417
